"","F2","F6","F9","F11","F20","F26","F27","F28","F31","F33","F127","F201","F202"
"13792","Красноярск (Железнодорожный район)",2016-10-30,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13793","Красноярск (Железнодорожный район)",2016-10-30,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13794","Красноярск (Железнодорожный район)",2016-10-30,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13795","Красноярск (Кировский район)",2016-11-02,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13796","Красноярск (Октябрьский район)",2016-11-03,0,"Город","Многоквартирный жилой дом","II","Кухня","Стена, перегородка","Отделочные материалы","Прочие причины, связанные с нарушением правил устройства и эксплуатации электрооборудования",0,1,0
"13797","Красноярск (Свердловский район)",2016-11-03,0,"Город","Многоквартирный жилой дом","II","Чердачное помещение","Пол","Отделочные материалы","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13798","Красноярск (Октябрьский район)",2016-11-04,0,"Город","Легковой автомобиль","Отсутствует","Салон, кузов","Код конструкции не указан","Полимерные материалы","Неисправность электрооборудования транспортного средства",0,1,0
"13799","Красноярск (Центральный район)",2016-11-05,0,"Город","Легковой автомобиль","Отсутствует","Салон, кузов","Код конструкции не указан","ЛВЖ","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13800","Красноярск (Советский район)",2016-11-05,0,"Город","Многоквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Потолочное перекрытие (подвесной потолок)","Деревянные, бумажные изделия, материалы","Нарушение правил пожарной безопасности при эксплуатации печей",0,1,0
"13801","Красноярск (Свердловский район)",2016-11-05,0,"Город","Садовый дом, дача и др.","V","Веранда, терраса, тамбур","Стена, перегородка","Отделочные материалы","Нарушение правил технической эксплуатации электрооборудования",0,1,0
"13802","Красноярск (Советский район)",2016-11-05,0,"Город","Гараж, тент–укрытие и т.д.","II","Комната, жилое, спальное помещение, палата","Стена, перегородка","Отделочные материалы","Прочие причины, связанные с нарушением правил устройства и эксплуатации газового оборудования",0,1,0
